Id	Description	Qty	Unit	Designators	Manufacturer	Supplier	SPN
1	Cable, 1 x 10 AWG	0.2	m	W1	SouthWire		
2	Connector, F2 0.25in (spade), female, 1 pins	2		W1P1(1), W1P2(2)		Harbor Freight	67686, 61982
